ID	audio	tgt_text
173	14624695685248966546.wav	Es gibt immer noch viele Männer und Frauen, die ihre Zeit hier überlebt haben, und noch viele mehr, die geliebte Menschen hatten, die dort ermordet oder zu Tode gearbeitet wurden, Juden und Nichtjuden gleichermaßen.
174	14643126700888487830.wav	Die Stadt ist auch der Ausgangspunkt, um den Nyiragongo-Vulkan zu besteigen, zusammen mit einigen der günstigsten Berggorilla-Tracking-Möglichkeiten in Afrika.
175	14648010410081654131.wav	Bitte verschandeln Sie die Website nicht, indem Sie Graffiti in Strukturen markieren oder kratzen.
176	14681158725429032808.wav	Aber nach dem Verlust des Kapitäns-Wickets machte Indien nur 36 Läufe und verlor 7 Wickets, um das Innings zu beenden.
177	14693330690944350091.wav	Zwischen 22:00 und 23:00 Uhr MDT wurde von den Häftlingen im Hof ein Feuer entfacht.
178	14704091860070528032.wav	Also ist es wahrscheinlich, dass die Notiz einfach als Etikett hinzugefügt wurde.
179	14738234113419638776.wav	Sie haben Füße mit Schuppen und Krallen, legen Eier und gehen auf ihren beiden Hinterbeinen wie ein T-Rex.
180	14805661830607478688.wav	Er fügte hinzu, dass sie jedoch nicht dazu aufgefordert werden sollten, Verpflichtungen zu übernehmen, die über ihren Entwicklungsstand, ihre Verantwortung und ihre Fähigkeiten hinausgehen.
181	14836289886440749215.wav	Die Fotografen übernahmen später den Platz einer älteren Dame, da sie auf die Toilette musste. Mendoza wurde erschossen.
182	1483818313790875806.wav	In nur zwei Wochen hatten die Amerikaner und die freien französischen Streitkräfte Südfrankreich befreit und wandten sich nach Deutschland.
183	14855926442890309286.wav	Pflanzen stellen ihre Nahrung durch Photosynthese aus Sonnenlicht her. Sie spenden auch Schatten.
184	14868402834603110105.wav	Kurz nach Ausbruch der Feindseligkeiten initiierte Großbritannien eine Seeblockade gegen Deutschland.
185	14944400645209157789.wav	Errichtet von den Ägyptern im 3. Jahrhundert v. Chr., ist die Große Pyramide eine von vielen großen Pyramidenstrukturen, die errichtet wurden, um den verstorbenen Pharao zu ehren.
186	14960809846091330730.wav	USA Gymnastics unterstützt das Schreiben des United States Olympic Committee und akzeptiert die absolute Notwendigkeit der olympischen Familie, eine sichere Umgebung für all unsere Athleten zu fördern.
187	1497068838470674354.wav	Der Zug von Gebäuden, die die Skyline von Hongkong bilden, wurde mit einem glitzernden Balkendiagramm verglichen, das durch die Anwesenheit der Gewässer des Victoria Harbour offensichtlich wird.
188	14982964006464846866.wav	Als Ergebnis rauchen die Darsteller Cannabis-Joints auf der Bühne, und das Theater ermutigt das Publikum, mitzumachen.
189	14993919225529607964.wav	Australiens Mitchell Gourley belegte den elften Platz im Männer-Steh-Super-G. Der tschechische Konkurrent Oldřich Jelínek belegte den sechzehnten Platz im Männer-Sitz-Super-G.
190	15004506730396162914.wav	Er war nicht in der Lage, die benötigten Medikamente einzunehmen, um seinen Schmerz zu überwinden, da sie von den Spielen verboten sind.
191	15038927295183526116.wav	Der pH-Wert wird durch die Menge der Wasserstoffionen (das H in pH) im getesteten chemischen Stoff angezeigt.
192	15094027080386890060.wav	Er wurde vom stellvertretenden Premierminister Singapurs Wong Kan Seng begrüßt und diskutierte Handels- und Terrorismusfragen mit dem Premierminister von Singapur, Lee Hsien Loong.
193	15167791612734877902.wav	Fünf Minuten nach Beginn der Vorführung beginnt ein Wind aufzukommen, etwa eine Minute später erreicht der Wind 70 km/h... dann kommt der Regen, so stark und so groß, dass er wie Nadelstiche auf deine Haut prasselt, dann fiel Hagel vom Himmel, die Leute gerieten in Panik, schrien und liefen übereinander.
194	15199695878621076767.wav	Dies wird es ermöglichen, rückwärtskompatibel mit 802.11a, 802.11b und 802.11g zu sein, vorausgesetzt, dass die Basisstation zwei Radios hat.
195	15228527404193944906.wav	Es ist dünner unter den Maria und dicker unter den Hochländern.
196	15257026998252037010.wav	Wilde Kinder haben möglicherweise schwere Kindesmisshandlung oder Traumata erlebt, bevor sie verlassen oder weggelaufen sind.
197	15278922555301201869.wav	Der Massenbesitz von Autos führt auch zu einer höheren Unfallhäufigkeit auf den Straßen, was zur Entwicklung neuer Techniken im Gesundheitswesen zur Reparatur beschädigter Körper führt.
198	1531123292382678510.wav	Giancarlo Fisichella verlor die Kontrolle über sein Auto und beendete das Rennen sehr früh nach dem Start.
199	15359249341091182172.wav	Kinder werden aus einer Vielzahl von Gründen in Pflegefamilien untergebracht, die von Vernachlässigung über Missbrauch bis hin zu Erpressung reichen.
200	15462197415062072209.wav	Die zentrale Autorität der Kirche war seit über tausend Jahren in Rom, und diese Konzentration von Macht und Geld führte dazu, dass viele sich fragten, ob dieser Grundsatz erfüllt wurde.
201	15494714124475485422.wav	Laut Japans Atomaufsichtsbehörde wurde radioaktives Cäsium und Iod in dem Kraftwerk identifiziert.
202	15505806025419963341.wav	Jeder nimmt an der Gesellschaft teil und nutzt Verkehrssysteme. Fast jeder beklagt sich über Verkehrssysteme.
203	15510957858467012907.wav	Die meisten der kleineren Inseln sind unabhängige Nationen oder mit Frankreich verbunden und als Luxus-Strandresorts bekannt.
204	15533201887617185536.wav	Diese Theorien untersuchen, was es an bestimmten Personen ist, das sie dazu bringt, die Dinge zu wollen, die sie wollen, und welche Dinge in ihrer Umgebung sie dazu bringen werden, bestimmte Dinge zu tun oder nicht zu tun.
205	1553627708563736436.wav	Das Brüllen des Tigers ähnelt nicht dem vollen Brüllen eines Löwen, sondern eher einem Satz knurrender, lauter Worte.
206	1559267283424963143.wav	Das Bloggen ist ein Werkzeug, das zur Zusammenarbeit anregt und Schüler dazu ermutigt, das Lernen weit über den traditionellen Schultag hinaus auszudehnen.
207	15592925372393530543.wav	Stolzen bestehen aus ein bis drei verwandten erwachsenen Männchen sowie bis zu dreißig Weibchen und Jungtieren.
208	156130586016414879.wav	Im Allgemeinen können sich zwei Verhaltensweisen entwickeln, wenn Manager anfangen, ihre ehemaligen Kollegen zu führen. Am einen Ende des Spektrums steht der Versuch, einer von ihnen zu bleiben.
209	15618717836108767541.wav	Polizei-Superintendent Chandra Shekhar Solanki sagte, dass die Angeklagten mit bedeckten Gesichtern vor Gericht erschienen.
210	15622589675144910207.wav	Die Große Pyramide von Gizeh ist das einzige der sieben Weltwunder, das heute noch steht.
211	15648812079343683412.wav	Beliebte Sportarten sind Fußball, Basketball, Volleyball, Wasserball, Fechten, Rugby, Radsport, Eishockey, Rollhockey und Formel-1-Motorsport.
212	15667010054869079797.wav	Während dieser Zeit der europäischen Geschichte geriet die reiche und mächtige katholische Kirche in die Kritik.
213	15695900311829620190.wav	Während der Nacht wurden zwischen 150 und 200 Kopien angefertigt, die heute als Dunlap-Breitseiten bekannt sind.
214	15738179776336088720.wav	Schwellen wurden ziemlich früh eingeführt, um die Schienen an Ort und Stelle zu halten. Allmählich wurde jedoch erkannt, dass Schienen effizienter wären, wenn sie einen Eisenstreifen oben hätten.
215	15739600005438498912.wav	Aber nachdem der Kapitän ausgeschieden war, erzielte Indien nur 36 Runs und verlor 7 Wickets am Ende des Innings.
216	15790784892019701649.wav	Die zentrale Autorität der Kirche war seit über tausend Jahren in Rom, und diese Konzentration von Macht und Geld veranlasste viele, zu hinterfragen, ob dieser Grundsatz eingehalten wurde.
217	15820671163473629623.wav	Busse verlassen den über den Fluss gelegenen überdachten Busbahnhof tagsüber, wobei die meisten, insbesondere diejenigen, die in den Osten und nach Jakar/Bumthang fahren, zwischen 06:30 und 07:30 abreisen.
218	15824575839049156888.wav	Die beiden Verbindungen reagieren miteinander, um Kristalle zu bilden, die die Nierenfunktion blockieren können, sagten Forscher der Universität.
219	15842229443202938478.wav	Ein einfaches beliebtes Abendessen, insbesondere im Sommer, ist das Pa amb Oli: Brot mit Olivenöl, Tomate und diversen Zutaten wie Käse, Thunfisch usw.
220	15935462347202880059.wav	Auf der Spitze eines der Berge nördlich von Mekka liegt die Höhle völlig isoliert von der restlichen Welt.
221	15945599843667387523.wav	Der Archipel liegt 120 km nördlich der Halbinsel. Der größte ist die King George Island mit dem Ort Villa Las Estrellas.
222	1596269393232229615.wav	Bishkek wurde von einem Beobachter als in einen Zustand der Anarchie versinkend beschrieben, während Banden von Menschen durch die Straßen zogen und Geschäfte mit Konsumgütern plünderten.
223	15966297335082605286.wav	Weil die Dinosaurierfedern keinen gut entwickelten Schaft namens Rachis haben, aber andere Merkmale von Federn aufweisen - Äste und Ästchen - folgerten die Forscher, dass der Rachis wahrscheinlich eine spätere evolutionäre Entwicklung war als diese anderen Merkmale.
224	16010170383637871536.wav	Die Menschen haben seit der Antike grundlegende chemische Elemente wie Gold, Silber und Kupfer gekannt, da diese alle in der Natur in reiner Form vorkommen und relativ einfach mit primitiven Werkzeugen abgebaut werden können.
225	1605300975319497622.wav	Die Bevölkerung der Vatikanstadt beträgt ungefähr 800. Sie ist das kleinste unabhängige Land der Welt und das Land mit der geringsten Bevölkerungszahl.
226	1616366247253366320.wav	Es griff auch alles an, was ins Wasser kam; selbst ein Riese wie der T. Rex hätte keine Chance dagegen.
227	1618638950277648344.wav	Allerdings ist das nicht wahr. Obwohl auf der Rückseite des Dokuments etwas geschrieben steht, handelt es sich nicht um eine Schatzkarte.
228	16188741492070958424.wav	Es hat uns den Zug, das Auto und viele andere Transportmittel gebracht.
229	16200495359369533302.wav	Kreuzfahrten nach Sankt Petersburg beinhalten Zeit in der Stadt. Kreuzfahrtpassagiere sind von Visumbestimmungen befreit (bitte die Bedingungen prüfen).
230	16207777688923954070.wav	A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.Ein Autobombenanschlag auf das Polizeihauptquartier in Gaziantep, Türkei, gestern Morgen tötete zwei Polizisten und verletzte mehr als zwanzig andere Menschen.
231	16234809612157196531.wav	Die Große Pyramide von Gizeh ist das einzige der sieben Weltwunder, das heute noch steht.
232	16249020005264010985.wav	Es gibt keine universelle Definition, welche hergestellten Gegenstände Antiquitäten sind. Einige Steuerbehörden definieren Waren, die älter als 100 Jahre sind, als Antiquitäten.
233	16311865697463361030.wav	Eine Suche im Internet nach 'Feindlicher-Umgebung-Kurs' wird wahrscheinlich die Adresse eines örtlichen Unternehmens liefern.
234	16327101627424867030.wav	Die Ton- und Lichtshow der Pyramiden ist eine der interessantesten Attraktionen für Kinder in der Gegend.
235	163369145011818208.wav	Ziegen scheinen vor etwa 10.000 Jahren erstmals in den Zagros-Bergen im Iran domestiziert worden zu sein.
236	1633905380187706594.wav	Nachdem der Damm im Jahr 1963 gebaut wurde, wurden die saisonalen Überschwemmungen, die Sedimente im Fluss verteilten, gestoppt.
237	16355757648693617724.wav	Bischkek wurde von einem Beobachter als in einen Zustand „der Anarchie“ versinkend beschrieben, während Gruppen von Leuten die Straßen durchstreiften und Läden mit Konsumgütern plünderten.
238	16367441259442214277.wav	Das Fahrzeug selbst wurde noch am selben Tag gegen 12:00 Uhr GMT von der Unfallstelle weggebracht.
239	16437430878550556483.wav	USA Gymnastics und das USOC haben das gleiche Ziel - den Sport der Gymnastik und anderer so sicher wie möglich zu gestalten, damit Athleten ihren Träumen in einer sicheren, positiven und ermächtigenden Umgebung folgen können.
240	16482413846901462656.wav	Pflanzen stellen ihre Nahrung durch Photosynthese aus der Sonne her. Sie spenden auch Schatten.
241	16528325964292062857.wav	Dieses Sediment war notwendig für die Schaffung von Sandbänken und Stränden, die als Lebensräume für die Tierwelt dienten.
242	16545276994853978309.wav	Professor Pamela Ferguson von der Universität Dundee bemerkt: Journalisten scheinen eine gefährliche Grenze zu überschreiten, wenn sie Fotos usw. von Verdächtigen veröffentlichen.
243	16561255522246307224.wav	Es gibt noch viele Männer und Frauen, die ihre Zeit hier überlebt haben, und viele weitere, die Angehörige hatten, die dort ermordet oder zu Tode gearbeitet wurden, Juden und Nichtjuden gleichermaßen.
244	16631812927540811343.wav	Die Anzahl der anwesenden Personen war so groß, dass es nicht möglich war, dass alle Zutritt zur Beerdigung auf dem Petersplatz erlangten.
245	16685618834972658685.wav	Allerdings konnten aufgrund der langsamen Kommunikationskanäle die Stile im Westen um 25 bis 30 Jahre hinterherhinken.
246	16702780028313283623.wav	Alles im Universum besteht aus Materie. Alle Materie besteht aus winzigen Teilchen, die Atome genannt werden.
247	16721823661104667622.wav	Rip-Strömungen sind der rücklaufende Strom von Wellen, die oft an einem Riff oder Ähnlichem brechen.
248	16725549094651424150.wav	Es ist dünner unter den Maria und dicker unter den Hochländern.
249	16757205419144758552.wav	Kurz nach Beginn der Feindseligkeiten hat Großbritannien eine Seeblockade gegen Deutschland eingeleitet.
250	16766787285057438836.wav	Die offiziellen Sprachen Barcelonas sind Katalanisch und Spanisch. Etwa die Hälfte bevorzugt es, Katalanisch zu sprechen, die große Mehrheit versteht es und praktisch jeder kennt Spanisch.
251	16824485789160047135.wav	Australiens Mitchell Gourley beendete den Super-G im Stehen der Männer auf dem elften Platz. Der tschechische Konkurrent Oldrich Jelinek beendete den Super-G im Sitzen der Männer auf dem sechzehnten Platz.
252	16847628585853049714.wav	Sie können Boda-Boda (Motorradtaxi) benutzen, um in Goma herumzukommen. Der normale (lokale) Preis beträgt etwa 500 kongolesische Francs für die kurze Fahrt.
253	16851035292487940942.wav	Nachdem der Damm im Jahr 1963 gebaut wurde, wurden die saisonalen Überschwemmungen gestoppt, die Sedimente im Fluss verteilten.
254	16890607023935231060.wav	Pariser haben den Ruf, egozentrisch, unhöflich und arrogant zu sein.
255	16989675193715509568.wav	Ihre disziplinierte Verteidigung, Ballkontrollfähigkeiten und hervorragende Teamarbeit machten sie herausragend, und es war klar, dass dies das Team war, das es zu schlagen galt.
256	1701461929359257439.wav	Der zehnte benannte Sturm der atlantischen Hurrikan-Saison, der subtropische Sturm Jerry, hat sich heute im Atlantik gebildet.
257	17029455052229515619.wav	Wenn Sie nur an Land gehen, um Ausflüge vom Schiff aus zu machen, wird kein separates Visum benötigt (ab 2009).
258	17087438879836851456.wav	Layton hatte während des Treffens mit dem Premierminister um Änderungen am Umweltgesetz der Konservativen gebeten und um eine gründliche und vollständige Neufassung des Umweltgesetzes der Konservativen gebeten.
259	17107523751051309601.wav	Die liberale Kritik am Wiederaufbauprojekt konzentriert sich auf die Vergabe von Wiederaufbauverträgen an vermeintliche Washingtoner Insider.
260	17120997777600226051.wav	Die am leichtesten zugänglichen Pflanzenressourcen wären die Proteine in Blättern und Hülsenfrüchten gewesen, aber diese sind für Primaten wie uns schwer verdaulich, es sei denn, sie sind gekocht.
261	17158526797037461547.wav	Die 25 noch bekannten Dunlap-Broschüren sind die ältesten erhaltenen Kopien des Dokuments. Das originale handgeschriebene Exemplar ist nicht erhalten geblieben.
262	17202654907652316758.wav	Schließlich gibt es viele kleine Katzen (einschließlich streunender Haustiere), die die weitaus zahlreichere kleine Beute wie Insekten, Nagetiere, Eidechsen und Vögel fressen.
263	1722118868151836971.wav	Die derzeitige Senatorin und argentinische First Lady Cristina Fernández de Kirchner kündigte gestern Abend in La Plata, einer Stadt 50 Kilometer von Buenos Aires entfernt, ihre Präsidentschaftskandidatur an.
264	1724953769276277810.wav	Dies sind manchmal überfüllte Familienstrände mit einer guten Auswahl an Geschäften entlang der Küste. Das Schwimmen ist sicher.
265	17257800930548614745.wav	In den Archipelen und Seen braucht man nicht unbedingt eine Yacht.
266	1727490782035998315.wav	Es wurde keine Tsunami-Warnung herausgegeben, und laut der Jakarta-Geophysikagentur wird auch keine Tsunami-Warnung herausgegeben, da das Beben nicht die Anforderungen an die Magnitude 6,5 erfüllt hat.
267	17289442889985927678.wav	Die Schengen-Zone funktioniert jedoch in dieser Hinsicht in gewisser Weise wie ein Land.
268	1729210846741769405.wav	Schlafunterbrechung ist der Vorgang des gezielten Erwachens während Ihres normalen Schlafzeitraums und des anschließenden kurzen Wiedereinschlafens (10–60 Minuten).
269	1731561740051730459.wav	Heute können nur Libellen und Eintagsfliegen ihre Flügel nicht zurückklappen.
270	17382227205265930996.wav	Akzeptiert wurden Aristoteles' Ansichten zu allen wissenschaftlichen Fragen, einschließlich der Psychologie.
271	17390731724222522492.wav	Für die Springboks bedeutete es das Ende einer fünf Spiele andauernden Niederlagenserie.
272	17392214165625498386.wav	Das Krankenhaus hat das Protokoll zur Infektionskontrolle befolgt, darunter auch die Trennung des Patienten von anderen, um eine mögliche Infektion anderer zu verhindern.
273	17406400587485166719.wav	Das Fahrzeug selbst wurde am gleichen Tag gegen 12:00 Uhr Greenwich Mean Time vom Unfallort weggebracht.
274	17476880836582943567.wav	Sei entschlossen, Männer abzuweisen, und zögere nicht, dich durchzusetzen (kulturelle Unterschiede hin oder her, es macht es nicht in Ordnung!).
275	17477520783262554049.wav	Die Verwendung von Videoaufnahmen hat zu wichtigen Entdeckungen bei der Interpretation von Mikroausdrücken geführt, Gesichtsbewegungen, die nur wenige Millisekunden dauern.
276	17498257810809617374.wav	Allerdings wurden diese Pläne praktisch über Nacht obsolet, als über 800.000 Soldaten der Roten Armee der Sowjetunion einrückten und die belarussischen und ukrainischen Fronten nach der Invasion der östlichen Regionen Polens im Verstoß gegen den Rigaer Friedensvertrag, das sowjetisch-polnische Nichtangriffspakt und andere internationale Abkommen, sowohl bilaterale als auch multilaterale, schuf.
277	17535235071289984666.wav	Stornierungsrichtlinien variieren, aber Ende März gelten die meisten auf dem Coronavirus basierenden Stornierungsrichtlinien nicht bis Juli 2020, wenn die Olympischen Spiele geplant waren.
278	17541705185473334415.wav	Dies wird es den Spielern ermöglichen, Aktionen und Bewegungen in Videospielen zu steuern, indem sie das Gerät durch die Luft bewegen.
279	17551750048021783839.wav	Ein ganzer 20 Prozent des Wassers, das aus den Flüssen des Planeten in die Ozeane fließt, stammt aus dem Amazonas.
280	17555259562398245870.wav	Er war auch mit der Gravur von Banknoten für viele Länder beschäftigt, aktuelle Beispiele seiner Arbeit sind die Porträts der Premierminister auf der Vorderseite der neuen kanadischen 5- und 100-Dollar-Noten.
281	17559567402304106195.wav	Die Mittelreihen-Batsmen Sachin Tendulkar und Rahul Dravid haben gut gespielt und eine Partnerschaft von 100 Runs erzielt.
282	17567046183557458641.wav	Die Krankheit wird von Schweinen übertragen und gelangt dann über Mücken auf den Menschen über.
283	17623856607065799247.wav	Während der 1920er Jahre waren die vorherrschenden Einstellungen der meisten Bürger und Nationen die des Pazifismus und der Isolation.
284	17629209318705923135.wav	Es gibt natürlich christliche theologische Erklärungen für diese Tradition, aber es könnte auch ein vorchristliches Frühlings- und Fruchtbarkeitsritual sein.
285	17637008742317695762.wav	Das Unterhaltungsnachrichten-Website TMZ versteht, dass der Fotograf sein Fahrzeug auf der anderen Seite des Sepulveda Boulevard angehalten hat und versuchte, Fotos von der Polizeikontrolle zu machen, bevor er die Straße überquerte und weiterging, was den California Highway Patrol Polizisten, der die Verkehrskontrolle durchführte, veranlasste, ihn zurücküber zu schicken, zweimal.
286	17656538893065595043.wav	Die Drei Reiche war eine der blutigsten Epochen in der Geschichte des alten China, Tausende von Menschen starben bei Kämpfen um den höchsten Platz im prächtigen Palast in Xi'an einzunehmen.
287	17695442797451759106.wav	Die am leichtesten zugänglichen Pflanzenressourcen wären die Proteine, die in Blättern und Hülsenfrüchten zugänglich sind, aber diese sind für Primaten wie uns schwer verdaulich, es sei denn, sie werden gekocht.
288	1770419804458122000.wav	Die Zusammensetzung dieser Kristalle entspricht denen, die im Urin betroffener Haustiere mittels Infrarotspektroskopie (FTIR) verglichen wurden.
289	17720519199437095973.wav	Huhne ist zurückgetreten und wird im Kabinett von Ed Davey MP ersetzt. Norman Lamb MP wird voraussichtlich den Wirtschaftsministerposten übernehmen, den Davey freigibt.
290	17722393517246760407.wav	Er wurde vom stellvertretenden Premierminister Singapurs, Wong Kan Seng, empfangen und diskutierte Handels- und Terrorismusfragen mit dem Premierminister Singapurs, Lee Hsien Loong.
291	17737260257548671107.wav	Duvall, der mit zwei erwachsenen Kindern verheiratet ist, hinterließ bei Miller, dem die Geschichte erzählt wurde, keinen großen Eindruck.
292	1774013444539766052.wav	Sein Ruf als Epizentrum des Luxus begann etwa im Jahr 400 n. Chr. und dauerte bis etwa 1100 n. Chr. an.
293	17744887036120495547.wav	Die Spaltbombe funktioniert nach dem Prinzip, dass Energie benötigt wird, um einen Kern mit vielen Protonen und Neutronen zusammenzusetzen.
294	17824557748066874904.wav	Denken Sie daran, dass obwohl die Musik auf den Hauptbühnen möglicherweise beendet ist, es Abschnitte des Festivals geben könnte, die bis spät in die Nacht Musik spielen werden.
295	17837018222808398366.wav	Die meisten Interpretationen des technologischen Determinismus teilen zwei allgemeine Ideen: dass die Entwicklung der Technologie selbst einen Weg verfolgt, der weitgehend jenseits kultureller oder politischer Einflüsse liegt, und dass Technologie wiederum Effekte auf Gesellschaften hat, die inhärent sind, anstatt sozial bedingt.
296	17858903836434412568.wav	Mehr traditionelle Kirchen halten oft eine Osterfeier am Samstagabend während des Osterwochenendes ab, wobei die Gemeinden oft um Mitternacht in Feierlichkeiten ausbrechen, um die Auferstehung Christi zu feiern.
297	17867641190456170710.wav	Feuerwehrleute konnten das Feuer schließlich um 23:35 Uhr löschen.
298	17897122138146023259.wav	Er bezeichnete die Gerüchte als politischen Klatsch und albernes Gerede.
299	17901982257181767377.wav	Das Haitianische Institut für Gerechtigkeit und Demokratie hat sich auf unabhängige Studien bezogen, die darauf hindeuten, dass das nepalesische UN-Friedensbataillon die Krankheit unwissentlich nach Haiti gebracht hat.
300	17931113498862338153.wav	Mosasaurus war der Spitzenprädator seiner Zeit, also fürchtete es nichts, außer anderen Mosasauriern.
301	17991438134494400884.wav	Der angemessene Einsatz von Blogs kann Schüler dazu befähigen, analytischer und kritischer zu werden; durch aktives Reagieren auf Internetmaterialien können Schüler ihre Positionen im Kontext anderer Schreibweisen definieren und ihre eigenen Perspektiven zu bestimmten Themen umreißen (Oravec, 2002).
302	17993676999513479371.wav	Der zehnte benannte Sturm der atlantischen Hurrikansaison, der subtropische Sturm Jerry, bildete sich heute im Atlantik.
303	1800879378797955911.wav	Der heiße Schokolade entspricht belgischen Standards. Fruchtsäfte sind teuer, aber ausgezeichnet.
304	1803816418609037922.wav	Viele deutsche Backwaren enthalten auch Mandeln, Haselnüsse und andere Baum-Nüsse. Beliebte Kuchen passen oft besonders gut zu einer Tasse starken Kaffee.
305	18045112717362407063.wav	Virtuelle Gerüste werden in der Software internalisiert und sollen Verfahren hinterfragen, anregen und erklären, die für den Schüler möglicherweise zu herausfordernd waren, um sie alleine zu bewältigen.
306	18045404733982450413.wav	Er bezeichnete die Gerüchte als politisches Geplapper und albernes Zeug.
307	18050107333341461921.wav	Der Archipel liegt 120 km nördlich der Halbinsel. Der größte ist die King George Insel mit der Siedlung Villa Las Estrellas.
308	18066939864018796519.wav	Beliebte Sportarten sind Fußball, Basketball, Volleyball, Wasserball, Fechten, Rugby, Radfahren, Eishockey, Rollhockey und Formel-1-Motorsport.
309	18080893208509673354.wav	Die aktuelle Senatorin und argentinische First Lady Cristina Fernández de Kirchner kündigte gestern Abend in La Plata, einer Stadt 50 Kilometer von Buenos Aires entfernt, ihre Präsidentschaftskandidatur an.
310	18089255921943570546.wav	Die Szenen werden auf den Pyramiden dargestellt und die verschiedenen Pyramiden werden beleuchtet.
311	18192639498290469063.wav	Der kalifornische Gouverneur Arnold Schwarzenegger hat ein Gesetz unterzeichnet, das den Verkauf oder die Vermietung von gewalttätigen Videospielen an Minderjährige verbietet.
312	18202922830718982906.wav	Professor Pamela Ferguson von der University of Dundee bemerkt: Journalisten scheinen eine gefährliche Grenze zu überschreiten, wenn sie Fotos usw. von Verdächtigen veröffentlichen.
313	18202947038243735021.wav	Er konnte die Medikamente, die er braucht, um seine Schmerzen zu überwinden, nicht einnehmen, da sie bei den Spielen verboten sind.
314	18249328980235371168.wav	Zum Beispiel ist das weltweit am häufigsten verwendete Format für Standbildfotografie das 35mm-Format, das die dominierende Filmgröße am Ende des analogen Filmzeitalters war.
315	18284781272143232129.wav	Besuchen Sie auch im Norden das große Heiligtum Unserer Lieben Frau von Fatima (Schrein), einen Ort weltweit berühmter marianischer Erscheinungen.
316	1830239880893513318.wav	Aerosmith haben ihre verbleibenden Konzerte auf ihrer Tour abgesagt.
317	18320871674783850842.wav	Hongkong Island gibt dem Gebiet von Hongkong seinen Namen und ist der Ort, den viele Touristen als Hauptziel betrachten.
318	18338037673431314900.wav	Wilde Kinder haben möglicherweise schwere Kindesmissbrauch oder Traumata erlebt, bevor sie verlassen oder weggelaufen sind.
319	18348048016606756393.wav	Die Debatte wurde durch Kontroversen über die Ausgaben für Hilfe und den Wiederaufbau nach dem Hurrikan Katrina ausgelöst; den einige Haushaltskonservative humorvoll als Bushs New Orleans-Deal bezeichnet haben.
320	18359063029191000694.wav	Die Wissenschaftler konnten schlussfolgern, dass die Dunkle Materie andere Dunkle Materie genauso beeinflusst wie normale Materie.
321	18401388433019060091.wav	Das Unterhaltungsnachrichten-Website TMZ versteht, dass der Fotograf sein Fahrzeug auf der anderen Seite des Sepulveda Boulevard anhielt und versuchte, Bilder von der Polizeikontrolle zu machen, bevor er die Straße überquerte und weiterging, was den Polizeibeamten der California Highway Patrol, der die Verkehrskontrolle durchführte, dazu veranlasste, ihn zweimal zurückzuschicken.
322	1876924768395363851.wav	Muhammad interessierte sich tiefgehend für Angelegenheiten jenseits dieses weltlichen Lebens. Er pflegte eine Höhle aufzusuchen, die als Hira' auf dem Berg Noor (Licht) bekannt wurde, um nachzudenken.
323	1891517816131569989.wav	Er [Wales] hat uns im Grunde von Anfang an belogen. Erstens, indem er so tat, als sei dies aus rechtlichen Gründen. Zweitens, indem er vorgab, uns zuzuhören, bis hin zur Löschung seiner eigenen Beiträge.
324	1944915261206096046.wav	Wirbeln Sie die beiden trockenen Pulver zusammen und drücken Sie sie dann mit sauberen nassen Händen zu einer Kugel zusammen.
325	1963592535181342965.wav	Die anderen Nominierungen umfassen Bester Film, Regisseur, Kamera, Kostümdesign, Filmschnitt, Originalmusik, Szenenbild, Tonschnitt, Tonaufnahme und Originaldrehbuch.
326	1970151869993494628.wav	Der Standard 802.11n arbeitet mit den Frequenzen 2,4 GHz und 5,0 GHz.
327	2013850546771709559.wav	Die Stadt steht im krassen Gegensatz zu den anderen Städten des Landes, da sie mehr orientalischen als afrikanischen Flair hat.
328	2024594662850694945.wav	Ein Curry ist ein Gericht auf der Basis von Kräutern und Gewürzen zusammen mit entweder Fleisch oder Gemüse.
329	2074231104398719826.wav	Dies sind manchmal überfüllte Familienstrände mit einer guten Auswahl an Geschäften entlang der Küste. Das Schwimmen ist sicher.
330	2107835372204888631.wav	Das Haitianische Institut für Gerechtigkeit und Demokratie hat sich auf unabhängige Studien bezogen, die darauf hindeuten, dass das nepalesische UN-Friedensbataillon die Krankheit unwissentlich nach Haiti gebracht hat.
331	2133693849393745219.wav	Es hängt damit zusammen, beinhaltet aber normalerweise keine alpine Skitouren oder Bergsteigen im alpinen Stil, letzteres wird in steilem Gelände durchgeführt und erfordert wesentlich steifere Skier und Stiefel.
332	2187541533417725553.wav	Alte Kulturen und Stämme begannen sie zu halten, um leichteren Zugang zu Milch, Haar, Fleisch und Häuten zu haben.
333	221216034074176262.wav	Segregation und Rekombination mischen die Variation zwischen den beiden Populationen mit jeder Generation hin und her.
334	2254021119996292300.wav	In einigen Gebieten reicht es aus, Wasser eine Minute lang zu kochen, in anderen sind mehrere Minuten erforderlich.
335	2258483735861631299.wav	Wenn Sie nicht daran gewöhnt sind, auf Landstraßen zu fahren, sollten Sie aufpassen: Steigungen, schmale Fahrspuren und scharfe Kurven sind vorherrschend.
336	2347162438493420663.wav	Obwohl dies oft nur ein ungenaues Stereotyp ist, ist der beste Weg, in Paris zurechtzukommen, immer noch, sich tadellos zu benehmen und sich wie jemand zu verhalten, der bien élevé (gut erzogen) ist. Es wird das Fortbewegen erheblich erleichtern.
